topic,question,answer,language
Energy,What is energy?,Energy is the ability to do work.,en
Energy,What is energy? (हिंदी),Energy is the ability to do work. (हिंदी),hi
Energy,What is energy? (मराठी),Energy is the ability to do work. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Fractions,What is a fraction?,A fraction represents a part of a whole.,en
Fractions,What is a fraction? (हिंदी),A fraction represents a part of a whole. (हिंदी),hi
Fractions,What is a fraction? (मराठी),A fraction represents a part of a whole. (मराठी),mr
Force,What is force?,Force is a push or pull acting on an object.,en
Force,What is force? (हिंदी),Force is a push or pull acting on an object. (हिंदी),hi
Force,What is force? (मराठी),Force is a push or pull acting on an object. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Transportation,What is transportation in organisms?,Transportation is the movement of substances inside the body.,en
Transportation,What is transportation in organisms? (हिंदी),Transportation is the movement of substances inside the body. (हिंदी),hi
Transportation,What is transportation in organisms? (मराठी),Transportation is the movement of substances inside the body. (मराठी),mr
Electricity,What is electricity?,Electricity is the flow of electric charge.,en
Electricity,What is electricity? (हिंदी),Electricity is the flow of electric charge. (हिंदी),hi
Electricity,What is electricity? (मराठी),Electricity is the flow of electric charge. (मराठी),mr
Geometry,What is geometry?,Geometry deals with shapes and sizes.,en
Geometry,What is geometry? (हिंदी),Geometry deals with shapes and sizes. (हिंदी),hi
Geometry,What is geometry? (मराठी),Geometry deals with shapes and sizes. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Algebra,What is algebra?,Algebra is a branch of mathematics using symbols.,en
Algebra,What is algebra? (हिंदी),Algebra is a branch of mathematics using symbols. (हिंदी),hi
Algebra,What is algebra? (मराठी),Algebra is a branch of mathematics using symbols. (मराठी),mr
Nutrition,What is nutrition?,Nutrition is the process by which organisms obtain and use food.,en
Nutrition,What is nutrition? (हिंदी),Nutrition is the process by which organisms obtain and use food. (हिंदी),hi
Nutrition,What is nutrition? (मराठी),Nutrition is the process by which organisms obtain and use food. (मराठी),mr
Geometry,What is geometry?,Geometry deals with shapes and sizes.,en
Geometry,What is geometry? (हिंदी),Geometry deals with shapes and sizes. (हिंदी),hi
Geometry,What is geometry? (मराठी),Geometry deals with shapes and sizes. (मराठी),mr
Nutrition,What is nutrition?,Nutrition is the process by which organisms obtain and use food.,en
Nutrition,What is nutrition? (हिंदी),Nutrition is the process by which organisms obtain and use food. (हिंदी),hi
Nutrition,What is nutrition? (मराठी),Nutrition is the process by which organisms obtain and use food. (मराठी),mr
Electricity,What is electricity?,Electricity is the flow of electric charge.,en
Electricity,What is electricity? (हिंदी),Electricity is the flow of electric charge. (हिंदी),hi
Electricity,What is electricity? (मराठी),Electricity is the flow of electric charge. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Algebra,What is algebra?,Algebra is a branch of mathematics using symbols.,en
Algebra,What is algebra? (हिंदी),Algebra is a branch of mathematics using symbols. (हिंदी),hi
Algebra,What is algebra? (मराठी),Algebra is a branch of mathematics using symbols. (मराठी),mr
Force,What is force?,Force is a push or pull acting on an object.,en
Force,What is force? (हिंदी),Force is a push or pull acting on an object. (हिंदी),hi
Force,What is force? (मराठी),Force is a push or pull acting on an object. (मराठी),mr
Light,What is light?,Light is a form of energy that helps us see objects.,en
Light,What is light? (हिंदी),Light is a form of energy that helps us see objects. (हिंदी),hi
Light,What is light? (मराठी),Light is a form of energy that helps us see objects. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Electricity,What is electricity?,Electricity is the flow of electric charge.,en
Electricity,What is electricity? (हिंदी),Electricity is the flow of electric charge. (हिंदी),hi
Electricity,What is electricity? (मराठी),Electricity is the flow of electric charge. (मराठी),mr
Light,What is light?,Light is a form of energy that helps us see objects.,en
Light,What is light? (हिंदी),Light is a form of energy that helps us see objects. (हिंदी),hi
Light,What is light? (मराठी),Light is a form of energy that helps us see objects. (मराठी),mr
Excretion,What is excretion?,Excretion is the removal of waste substances.,en
Excretion,What is excretion? (हिंदी),Excretion is the removal of waste substances. (हिंदी),hi
Excretion,What is excretion? (मराठी),Excretion is the removal of waste substances. (मराठी),mr
Nutrition,What is nutrition?,Nutrition is the process by which organisms obtain and use food.,en
Nutrition,What is nutrition? (हिंदी),Nutrition is the process by which organisms obtain and use food. (हिंदी),hi
Nutrition,What is nutrition? (मराठी),Nutrition is the process by which organisms obtain and use food. (मराठी),mr
Algebra,What is algebra?,Algebra is a branch of mathematics using symbols.,en
Algebra,What is algebra? (हिंदी),Algebra is a branch of mathematics using symbols. (हिंदी),hi
Algebra,What is algebra? (मराठी),Algebra is a branch of mathematics using symbols. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Energy,What is energy?,Energy is the ability to do work.,en
Energy,What is energy? (हिंदी),Energy is the ability to do work. (हिंदी),hi
Energy,What is energy? (मराठी),Energy is the ability to do work. (मराठी),mr
Linear Equations,What is a linear equation?,A linear equation is an equation of degree one.,en
Linear Equations,What is a linear equation? (हिंदी),A linear equation is an equation of degree one. (हिंदी),hi
Linear Equations,What is a linear equation? (मराठी),A linear equation is an equation of degree one. (मराठी),mr
Light,What is light?,Light is a form of energy that helps us see objects.,en
Light,What is light? (हिंदी),Light is a form of energy that helps us see objects. (हिंदी),hi
Light,What is light? (मराठी),Light is a form of energy that helps us see objects. (मराठी),mr
Excretion,What is excretion?,Excretion is the removal of waste substances.,en
Excretion,What is excretion? (हिंदी),Excretion is the removal of waste substances. (हिंदी),hi
Excretion,What is excretion? (मराठी),Excretion is the removal of waste substances. (मराठी),mr
Respiration,What is respiration?,Respiration is the process of releasing energy from food.,en
Respiration,What is respiration? (हिंदी),Respiration is the process of releasing energy from food. (हिंदी),hi
Respiration,What is respiration? (मराठी),Respiration is the process of releasing energy from food. (मराठी),mr
Linear Equations,What is a linear equation?,A linear equation is an equation of degree one.,en
Linear Equations,What is a linear equation? (हिंदी),A linear equation is an equation of degree one. (हिंदी),hi
Linear Equations,What is a linear equation? (मराठी),A linear equation is an equation of degree one. (मराठी),mr
Linear Equations,What is a linear equation?,A linear equation is an equation of degree one.,en
Linear Equations,What is a linear equation? (हिंदी),A linear equation is an equation of degree one. (हिंदी),hi
Linear Equations,What is a linear equation? (मराठी),A linear equation is an equation of degree one. (मराठी),mr
Nutrition,What is nutrition?,Nutrition is the process by which organisms obtain and use food.,en
Nutrition,What is nutrition? (हिंदी),Nutrition is the process by which organisms obtain and use food. (हिंदी),hi
Nutrition,What is nutrition? (मराठी),Nutrition is the process by which organisms obtain and use food. (मराठी),mr
Motion,What is motion?,Motion is the change in position with time.,en
Motion,What is motion? (हिंदी),Motion is the change in position with time. (हिंदी),hi
Motion,What is motion? (मराठी),Motion is the change in position with time. (मराठी),mr
Motion,What is motion?,Motion is the change in position with time.,en
Motion,What is motion? (हिंदी),Motion is the change in position with time. (हिंदी),hi
Motion,What is motion? (मराठी),Motion is the change in position with time. (मराठी),mr
Light,What is light?,Light is a form of energy that helps us see objects.,en
Light,What is light? (हिंदी),Light is a form of energy that helps us see objects. (हिंदी),hi
Light,What is light? (मराठी),Light is a form of energy that helps us see objects. (मराठी),mr
Nutrition,What is nutrition?,Nutrition is the process by which organisms obtain and use food.,en
Nutrition,What is nutrition? (हिंदी),Nutrition is the process by which organisms obtain and use food. (हिंदी),hi
Nutrition,What is nutrition? (मराठी),Nutrition is the process by which organisms obtain and use food. (मराठी),mr
Energy,What is energy?,Energy is the ability to do work.,en
Energy,What is energy? (हिंदी),Energy is the ability to do work. (हिंदी),hi
Energy,What is energy? (मराठी),Energy is the ability to do work. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Respiration,What is respiration?,Respiration is the process of releasing energy from food.,en
Respiration,What is respiration? (हिंदी),Respiration is the process of releasing energy from food. (हिंदी),hi
Respiration,What is respiration? (मराठी),Respiration is the process of releasing energy from food. (मराठी),mr
Energy,What is energy?,Energy is the ability to do work.,en
Energy,What is energy? (हिंदी),Energy is the ability to do work. (हिंदी),hi
Energy,What is energy? (मराठी),Energy is the ability to do work. (मराठी),mr
Light,What is light?,Light is a form of energy that helps us see objects.,en
Light,What is light? (हिंदी),Light is a form of energy that helps us see objects. (हिंदी),hi
Light,What is light? (मराठी),Light is a form of energy that helps us see objects. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Geometry,What is geometry?,Geometry deals with shapes and sizes.,en
Geometry,What is geometry? (हिंदी),Geometry deals with shapes and sizes. (हिंदी),hi
Geometry,What is geometry? (मराठी),Geometry deals with shapes and sizes. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Energy,What is energy?,Energy is the ability to do work.,en
Energy,What is energy? (हिंदी),Energy is the ability to do work. (हिंदी),hi
Energy,What is energy? (मराठी),Energy is the ability to do work. (मराठी),mr
Force,What is force?,Force is a push or pull acting on an object.,en
Force,What is force? (हिंदी),Force is a push or pull acting on an object. (हिंदी),hi
Force,What is force? (मराठी),Force is a push or pull acting on an object. (मराठी),mr
Electricity,What is electricity?,Electricity is the flow of electric charge.,en
Electricity,What is electricity? (हिंदी),Electricity is the flow of electric charge. (हिंदी),hi
Electricity,What is electricity? (मराठी),Electricity is the flow of electric charge. (मराठी),mr
Transportation,What is transportation in organisms?,Transportation is the movement of substances inside the body.,en
Transportation,What is transportation in organisms? (हिंदी),Transportation is the movement of substances inside the body. (हिंदी),hi
Transportation,What is transportation in organisms? (मराठी),Transportation is the movement of substances inside the body. (मराठी),mr
Linear Equations,What is a linear equation?,A linear equation is an equation of degree one.,en
Linear Equations,What is a linear equation? (हिंदी),A linear equation is an equation of degree one. (हिंदी),hi
Linear Equations,What is a linear equation? (मराठी),A linear equation is an equation of degree one. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Force,What is force?,Force is a push or pull acting on an object.,en
Force,What is force? (हिंदी),Force is a push or pull acting on an object. (हिंदी),hi
Force,What is force? (मराठी),Force is a push or pull acting on an object. (मराठी),mr
Respiration,What is respiration?,Respiration is the process of releasing energy from food.,en
Respiration,What is respiration? (हिंदी),Respiration is the process of releasing energy from food. (हिंदी),hi
Respiration,What is respiration? (मराठी),Respiration is the process of releasing energy from food. (मराठी),mr
Algebra,What is algebra?,Algebra is a branch of mathematics using symbols.,en
Algebra,What is algebra? (हिंदी),Algebra is a branch of mathematics using symbols. (हिंदी),hi
Algebra,What is algebra? (मराठी),Algebra is a branch of mathematics using symbols. (मराठी),mr
Geometry,What is geometry?,Geometry deals with shapes and sizes.,en
Geometry,What is geometry? (हिंदी),Geometry deals with shapes and sizes. (हिंदी),hi
Geometry,What is geometry? (मराठी),Geometry deals with shapes and sizes. (मराठी),mr
Transportation,What is transportation in organisms?,Transportation is the movement of substances inside the body.,en
Transportation,What is transportation in organisms? (हिंदी),Transportation is the movement of substances inside the body. (हिंदी),hi
Transportation,What is transportation in organisms? (मराठी),Transportation is the movement of substances inside the body. (मराठी),mr
Respiration,What is respiration?,Respiration is the process of releasing energy from food.,en
Respiration,What is respiration? (हिंदी),Respiration is the process of releasing energy from food. (हिंदी),hi
Respiration,What is respiration? (मराठी),Respiration is the process of releasing energy from food. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Linear Equations,What is a linear equation?,A linear equation is an equation of degree one.,en
Linear Equations,What is a linear equation? (हिंदी),A linear equation is an equation of degree one. (हिंदी),hi
Linear Equations,What is a linear equation? (मराठी),A linear equation is an equation of degree one. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Geometry,What is geometry?,Geometry deals with shapes and sizes.,en
Geometry,What is geometry? (हिंदी),Geometry deals with shapes and sizes. (हिंदी),hi
Geometry,What is geometry? (मराठी),Geometry deals with shapes and sizes. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Linear Equations,What is a linear equation?,A linear equation is an equation of degree one.,en
Linear Equations,What is a linear equation? (हिंदी),A linear equation is an equation of degree one. (हिंदी),hi
Linear Equations,What is a linear equation? (मराठी),A linear equation is an equation of degree one. (मराठी),mr
Geometry,What is geometry?,Geometry deals with shapes and sizes.,en
Geometry,What is geometry? (हिंदी),Geometry deals with shapes and sizes. (हिंदी),hi
Geometry,What is geometry? (मराठी),Geometry deals with shapes and sizes. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Nutrition,What is nutrition?,Nutrition is the process by which organisms obtain and use food.,en
Nutrition,What is nutrition? (हिंदी),Nutrition is the process by which organisms obtain and use food. (हिंदी),hi
Nutrition,What is nutrition? (मराठी),Nutrition is the process by which organisms obtain and use food. (मराठी),mr
Electricity,What is electricity?,Electricity is the flow of electric charge.,en
Electricity,What is electricity? (हिंदी),Electricity is the flow of electric charge. (हिंदी),hi
Electricity,What is electricity? (मराठी),Electricity is the flow of electric charge. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Algebra,What is algebra?,Algebra is a branch of mathematics using symbols.,en
Algebra,What is algebra? (हिंदी),Algebra is a branch of mathematics using symbols. (हिंदी),hi
Algebra,What is algebra? (मराठी),Algebra is a branch of mathematics using symbols. (मराठी),mr
Light,What is light?,Light is a form of energy that helps us see objects.,en
Light,What is light? (हिंदी),Light is a form of energy that helps us see objects. (हिंदी),hi
Light,What is light? (मराठी),Light is a form of energy that helps us see objects. (मराठी),mr
Mensuration,What is mensuration?,Mensuration deals with measurement of shapes.,en
Mensuration,What is mensuration? (हिंदी),Mensuration deals with measurement of shapes. (हिंदी),hi
Mensuration,What is mensuration? (मराठी),Mensuration deals with measurement of shapes. (मराठी),mr
Data Handling,What is data handling?,Data handling involves collecting and analyzing data.,en
Data Handling,What is data handling? (हिंदी),Data handling involves collecting and analyzing data. (हिंदी),hi
Data Handling,What is data handling? (मराठी),Data handling involves collecting and analyzing data. (मराठी),mr
Fractions,What is a fraction?,A fraction represents a part of a whole.,en
Fractions,What is a fraction? (हिंदी),A fraction represents a part of a whole. (हिंदी),hi
Fractions,What is a fraction? (मराठी),A fraction represents a part of a whole. (मराठी),mr
Motion,What is motion?,Motion is the change in position with time.,en
Motion,What is motion? (हिंदी),Motion is the change in position with time. (हिंदी),hi
Motion,What is motion? (मराठी),Motion is the change in position with time. (मराठी),mr
Excretion,What is excretion?,Excretion is the removal of waste substances.,en
Excretion,What is excretion? (हिंदी),Excretion is the removal of waste substances. (हिंदी),hi
Excretion,What is excretion? (मराठी),Excretion is the removal of waste substances. (मराठी),mr
Electricity,What is electricity?,Electricity is the flow of electric charge.,en
Electricity,What is electricity? (हिंदी),Electricity is the flow of electric charge. (हिंदी),hi
Electricity,What is electricity? (मराठी),Electricity is the flow of electric charge. (मराठी),mr
Transportation,What is transportation in organisms?,Transportation is the movement of substances inside the body.,en
Transportation,What is transportation in organisms? (हिंदी),Transportation is the movement of substances inside the body. (हिंदी),hi
Transportation,What is transportation in organisms? (मराठी),Transportation is the movement of substances inside the body. (मराठी),mr
Transportation,What is transportation in organisms?,Transportation is the movement of substances inside the body.,en
Transportation,What is transportation in organisms? (हिंदी),Transportation is the movement of substances inside the body. (हिंदी),hi
Transportation,What is transportation in organisms? (मराठी),Transportation is the movement of substances inside the body. (मराठी),mr
Excretion,What is excretion?,Excretion is the removal of waste substances.,en
Excretion,What is excretion? (हिंदी),Excretion is the removal of waste substances. (हिंदी),hi
Excretion,What is excretion? (मराठी),Excretion is the removal of waste substances. (मराठी),mr
Motion,What is motion?,Motion is the change in position with time.,en
Motion,What is motion? (हिंदी),Motion is the change in position with time. (हिंदी),hi
Motion,What is motion? (मराठी),Motion is the change in position with time. (मराठी),mr
Linear Equations,What is a linear equation?,A linear equation is an equation of degree one.,en
Linear Equations,What is a linear equation? (हिंदी),A linear equation is an equation of degree one. (हिंदी),hi
Linear Equations,What is a linear equation? (मराठी),A linear equation is an equation of degree one. (मराठी),mr
Electricity,What is electricity?,Electricity is the flow of electric charge.,en
Electricity,What is electricity? (हिंदी),Electricity is the flow of electric charge. (हिंदी),hi
Electricity,What is electricity? (मराठी),Electricity is the flow of electric charge. (मराठी),mr
Nutrition,What is nutrition?,Nutrition is the process by which organisms obtain and use food.,en
Nutrition,What is nutrition? (हिंदी),Nutrition is the process by which organisms obtain and use food. (हिंदी),hi
Nutrition,What is nutrition? (मराठी),Nutrition is the process by which organisms obtain and use food. (मराठी),mr
Fractions,What is a fraction?,A fraction represents a part of a whole.,en
Fractions,What is a fraction? (हिंदी),A fraction represents a part of a whole. (हिंदी),hi
Fractions,What is a fraction? (मराठी),A fraction represents a part of a whole. (मराठी),mr
